"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","20","Private field 'sqlManager' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"3","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","22","Private field 'roomNumField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"5","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","23","Private field 'descrField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"7","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","24","Private field 'priceField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"9","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","26","Parameter 'sqlManager' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","43","Parameter 'label' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","43","Parameter 'space' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","43","Parameter 'textField' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","44","Local variable 'tfPanel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","54","Local variable 'button' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","57","Avoid variables with short names like e","Naming Rules","ShortVariable"
"16","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","57","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","65","Local variable 'roomNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","5","66","Found 'DU'-anomaly for variable 'descr' (lines '66'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"19","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","66","Local variable 'descr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"20","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","5","67","Found 'DU'-anomaly for variable 'priceStr' (lines '67'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"21","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","67","Local variable 'priceStr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"22","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","70","The String literal 'Error' appears 4 times in this file; the first occurrence is on line 70","String and StringBuffer Rules","AvoidDuplicateLiterals"
"23","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","71","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"24","onlinehotel.gui","src/onlinehotel/gui/ChargesPanel.java","3","80","Avoid variables with short names like id","Naming Rules","ShortVariable"
"25","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"26","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","26","Private field 'sqlManager' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"27","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"28","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","28","Private field 'bookingIdField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"29","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"30","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","29","Private field 'roomNumberField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"31","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","31","Parameter 'sqlManager' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"32","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","50","Local variable 'bookingIdLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","51","Local variable 'checkInButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","54","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"35","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","59","Local variable 'checkInPanel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","72","Local variable 'roomNumLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","73","Local variable 'checkOutButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"38","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","76","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"39","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","92","Avoid unused private methods such as 'createFieldWithLabel(Component,String,int)'.","Unused Code Rules","UnusedPrivateMethod"
"40","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","92","Parameter 'field' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","92","Parameter 'label' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"42","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","5","103","Found 'DU'-anomaly for variable 'roomNum' (lines '103'-'118').","Controversial Rules","DataflowAnomalyAnalysis"
